id,predicted_result_type,sentence_year,sentence_months,sentence_days,sentence_hours,is_suspended,suspension_years,suspension_months,fine_is_fixed,fine_amount,drug_weight,entry_date,result_date,court,codex_articles,result_type,region,gender_group,is_weight_missing
10198144,условное осуждение,0.0,0.0,0.0,350.0,False,0.0,0.0,True,0.0,0.831,2022-08-19,2022-05-09,Железнодорожный районный суд г. Читы (Забайкальский край),228 ч.1 УК,Вынесен ПРИГОВОР,Забайкальский край,муж,False
10204932,лишение свободы,6.0,6.0,0.0,0.0,True,1.0,1.0,True,10000.0,1.0,2023-10-31,,Саткинский городской суд (Челябинская область),228 ч.1 УК,Вынесен ПРИГОВОР,Челябинская область,смешанный,False
3286052,штраф,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,2020-09-28,2020-12-11,Моргаушский районный суд (Чувашская Республика ),"319 УК, 228 ч.1 УК",Вынесен ПРИГОВОР,Чувашская Республика,муж,True
10067112,штраф,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,28.09,2020-06-17,2020-09-07,Кайтагский районный суд (Республика Дагестан),228 ч.1 УК,Уголовное дело ПРЕКРАЩЕНОназначена мера уголовно-правового характера - СУДЕБНЫЙ ШТРАФ (ст. 25.1 УПК РФ),Республика Дагестан,муж,False
10026178,условное осуждение,1.0,0.0,0.0,0.0,False,0.0,0.0,True,0.0,34.3,2019-11-29,,Хабезский районный суд (Карачаево-Черкесская Республика),228 ч.1 УК,Вынесен ПРИГОВОР,Алтайский край,муж,False
10060974,условное осуждение,0.0,0.0,0.0,260.0,False,0.0,0.0,True,0.0,22.0,2019-10-25,,Улетовский районный суд (Забайкальский край),228 ч.1 УК,Вынесен ПРИГОВОР,Забайкальский край,муж,False
10545269,условное осуждение,3.0,0.0,0.0,0.0,True,2.0,0.0,True,0.0,1.3,2021-07-30,,Красногорский городской суд (Московская область),228 ч.2 УК,Вынесен ПРИГОВОР,Московская область,жен,False
10019525,условное осуждение,0.0,0.0,0.0,0.0,True,0.0,0.0,True,0.0,,2019-05-31,,Наро-Фоминский городской суд (Московская область),228 ч.2 УК,Вынесен ПРИГОВОР,Московская область,муж,True
10002556,штраф,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,2018-08-29,,Изобильненский районный суд (Ставропольский край),228 ч.2 УК,Вынесен ПРИГОВОР,Ставропольский край,жен,True
10054038,условное осуждение,3.0,3.0,0.0,0.0,True,3.0,0.0,True,0.0,8.56,2022-04-11,,Орджоникидзевский районный суд г. Екатеринбурга (Свердловская область),228 ч.2 УК,Вынесен ПРИГОВОР,Свердловская область,муж,False
10182499,штраф,0.0,0.0,0.0,0.0,False,0.0,0.0,True,6000.0,8.1,2020-07-21,,Майский районный суд (Кабардино-Балкарская Республика),228 ч.1 УК,Вынесен ПРИГОВОР,Кабардино-Балкарская Республика,муж,False
10049499,штраф,0.0,0.0,0.0,150.0,False,0.0,0.0,True,0.0,0.35,2020-09-01,,Железнодорожный районный суд г. Симферополя (Республика Крым),228 ч.1 УК,Вынесен ПРИГОВОР,Республика Крым,муж,False
10191337,условное осуждение,0.0,0.0,0.0,0.0,False,0.0,0.0,True,0.0,0.413,2021-02-01,2021-10-02,Орджоникидзевский районный суд г. Уфы (Республика Башкортостан),228 ч.1 УК,Вынесен ПРИГОВОР,Республика Башкортостан,муж,False
10406136,условное осуждение,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,2024-05-06,2024-05-06,Орджоникидзевский районный суд г. Перми (Пермский край),228 ч.1 УК,Вынесен ПРИГОВОР,Пермский край,муж,True
10080144,условное осуждение,0.0,3.0,0.0,0.0,False,0.0,0.0,True,6000.0,0.87,2021-03-15,,Центральный районный суд г. Барнаула (Алтайский край),228 ч.1 УК,Вынесен ПРИГОВОР,Алтайский край,муж,False
10365327,условное осуждение,0.0,6.0,0.0,0.0,False,0.0,0.0,True,0.0,3.73,2024-05-08,,Ленинский районный суд г. Красноярска (Красноярский край),228 ч.1 УК,Вынесен ПРИГОВОР,Красноярский край,жен,False
10018397,штраф,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,2022-12-01,,Хасавюртовский городской суд (Республика Дагестан),228 ч.2 УК,Вынесен ПРИГОВОР,Республика Дагестан,муж,True
10096466,штраф,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,2018-04-03,2018-11-04,Октябрьский городской суд (Республика Башкортостан),228 ч.1 УК,Вынесен ПРИГОВОР,Республика Башкортостан,муж,True
10121204,штраф,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,2022-02-28,2022-03-08,Октябрьский районный суд г. Омска (Омская область),"228 ч.1 УК, 228 ч.2 УК",Вынесен ПРИГОВОР,Омская область,муж,True
10109587,штраф,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,2022-10-31,2023-07-06,Балейский городской суд (Забайкальский край),228 ч.2 УК,Вынесен ПРИГОВОР,Забайкальский край,муж,True
10240956,штраф,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,2018-08-29,,Ленинский районный суд г. Оренбурга (Оренбургская область),228 ч.2 УК,Вынесен ПРИГОВОР,Оренбургская область,муж,True
10137003,штраф,0.0,0.0,0.0,0.0,False,0.0,0.0,True,10000.0,0.29,2023-11-30,,Уссурийский районный суд (Приморский край),228 ч.1 УК,Вынесен ПРИГОВОР,Приморский край,муж,False
10490835,штраф,0.0,0.0,60.0,0.0,False,0.0,0.0,True,8000.0,0.48,2023-12-07,,Симферопольский районный суд (Республика Крым),228 ч.1 УК,Вынесен ПРИГОВОР,Республика Крым,муж,False
10150349,условное осуждение,3.0,0.0,0.0,0.0,True,3.0,0.0,True,0.0,108.0,2021-10-08,,Урицкий районный суд (Орловская область),228 ч.2 УК,Вынесен ПРИГОВОР,Орловская область,муж,False
10170366,штраф,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,2018-09-27,,Норильский городской суд (Красноярский край),228 ч.1 УК,Вынесен ПРИГОВОР,Красноярский край,жен,True
10518043,условное осуждение,0.0,0.0,0.0,0.0,False,0.0,0.0,True,20000.0,,2018-09-28,,Тюменский районный суд (Тюменская область),228 ч.1 УК,Вынесен ПРИГОВОР,Тюменская область,муж,True
10162703,штраф,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,2023-09-27,,Усть-Алданский районный суд (Республика Саха (Якутия)),228 ч.2 УК,Вынесен ПРИГОВОР,Республика Саха (Якутия),муж,True
10215085,условное осуждение,0.0,0.0,0.0,0.0,False,0.0,0.0,True,20000.0,44.4,2022-02-01,,Лиманский районный суд (Астраханская область),228 ч.1 УК,Вынесен ПРИГОВОР,Астраханская область,муж,False
10118618,штраф,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,2019-11-14,,Серпуховский городской суд (Московская область),"167 ч.2 УК, 228 ч.2 УК",Вынесен ПРИГОВОР,Московская область,муж,True
10263183,условное осуждение,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,2024-03-12,2024-12-08,Ворошиловский районный суд г. Ростова-на-Дону (Ростовская область),228 ч.1 УК,Вынесен ПРИГОВОР,Ростовская область,муж,True
10034997,условное осуждение,3.0,0.0,0.0,0.0,True,2.0,0.0,True,0.0,152.0,2020-03-10,,Усть-Коксинский районный суд (Республика Алтай),228 ч.2 УК,Вынесен ПРИГОВОР,Республика Алтай,муж,False
9996966,штраф,0.0,0.0,0.0,0.0,False,0.0,0.0,True,0.0,,2020-08-24,,Красногвардейский районный суд (Город Санкт-Петербург),228 ч.1 УК,Вынесен ПРИГОВОР,Город Санкт-Петербург,муж,True
10152886,условное осуждение,3.0,6.0,0.0,0.0,False,0.0,0.0,True,0.0,,2018-03-29,,Большемуртинский районный суд (Красноярский край),228 ч.2 УК,Вынесен ПРИГОВОР,Красноярский край,муж,True
10054943,условное осуждение,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,2023-09-27,2023-02-11,Сакский районный суд (Республика Крым),228 ч.1 УК,Вынесен ПРИГОВОР,Республика Крым,муж,True
10244416,условное осуждение,0.0,6.0,0.0,0.0,True,0.0,0.0,True,0.0,,2022-06-28,2022-09-08,Ленинский районный суд г. Тюмени (Тюменская область),228 ч.1 УК,Вынесен ПРИГОВОР,Тюменская область,муж,True
10264296,штраф,0.0,0.0,0.0,0.0,False,0.0,0.0,True,10000.0,0.49,2020-02-03,2020-09-09,Металлургический районный суд г. Челябинска (Челябинская область),228 ч.1 УК,Вынесен ПРИГОВОР,Челябинская область,муж,False
10019442,штраф,0.0,0.0,0.0,0.0,False,0.0,0.0,True,10000.0,0.933,2024-02-28,,Советский районный суд г. Красноярска (Красноярский край),228 ч.1 УК,Вынесен ПРИГОВОР,Красноярский край,муж,False
10252510,условное осуждение,3.0,3.0,0.0,0.0,True,4.0,0.0,True,0.0,0.72,2020-11-26,,Талицкий районный суд (Свердловская область),"228 ч.1 УК, 228 ч.2 УК",Вынесен ПРИГОВОР,Свердловская область,муж,False
10102153,условное осуждение,0.0,0.0,0.0,0.0,True,0.0,0.0,True,0.0,0.87,2024-01-22,2024-02-04,Киевский районный суд г. Симферополя (Республика Крым),228 ч.1 УК,Вынесен ПРИГОВОР,Республика Крым,муж,False
9979278,лишение свободы,4.0,4.0,0.0,0.0,False,0.0,0.0,True,0.0,119.2,2021-04-02,,Теучежский районный суд (Республика Адыгея),228 ч.2 УК,Вынесен ПРИГОВОР,Республика Адыгея,муж,False
10589300,штраф,0.0,0.0,60.0,0.0,False,0.0,0.0,True,0.0,0.81,2024-06-17,2024-03-07,Ленинский районный суд г. Тюмени (Тюменская область),228 ч.1 УК,Вынесен ПРИГОВОР,Тюменская область,муж,False
10129864,условное осуждение,0.0,0.0,0.0,0.0,False,0.0,0.0,True,20000.0,0.32,2019-09-30,2019-09-10,Волгодонской районный суд (Ростовская область),228 ч.1 УК,Вынесен ПРИГОВОР,Ростовская область,муж,False
10020650,условное осуждение,1.0,1.0,0.0,0.0,True,2.0,0.0,True,0.0,1.05,2020-10-06,,Зеленодольский городской суд (Республика Татарстан ),228 ч.1 УК,Вынесен ПРИГОВОР,Республика Татарстан,муж,False
10222884,условное осуждение,3.0,0.0,0.0,0.0,True,3.0,0.0,True,0.0,0.46,2019-06-18,,Ленинский районный суд г. Магнитогорска (Челябинская область),228 ч.2 УК,Вынесен ПРИГОВОР,Челябинская область,муж,False
10178962,условное осуждение,1.0,1.0,0.0,0.0,True,2.0,0.0,True,0.0,0.25,2022-08-23,2022-04-10,Московский районный суд г. Казани (Республика Татарстан ),228 ч.1 УК,Вынесен ПРИГОВОР,Республика Татарстан,муж,False
10024915,штраф,0.0,0.0,5.0,0.0,False,0.0,0.0,True,6000.0,0.64,2018-06-21,2018-06-07,Ленинский районный суд г. Владивостока (Приморский край),228 ч.1 УК,Вынесен ПРИГОВОР,Приморский край,муж,False
10199077,условное осуждение,0.0,0.0,0.0,0.0,False,0.0,0.0,True,30000.0,6.6,2020-04-16,2020-02-06,Люберецкий городской суд (Московская область),228 ч.1 УК,Вынесен ПРИГОВОР,Московская область,муж,False
10644824,штраф,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,2024-07-16,,Калининский районный суд г. Новосибирска (Новосибирская область),228 ч.2 УК,Вынесен ПРИГОВОР,Новосибирская область,муж,True
10039461,условное осуждение,3.0,0.0,0.0,0.0,True,2.0,6.0,True,0.0,1.12,2022-03-02,,Лобненский городской суд (Московская область),228 ч.2 УК,Вынесен ПРИГОВОР,Московская область,муж,False
10181621,лишение свободы,1.0,6.0,0.0,0.0,False,0.0,0.0,True,0.0,1.71,2022-04-08,,Свердловский районный суд г. Перми (Пермский край),228 ч.1 УК,Вынесен ПРИГОВОР,Пермский край,муж,False
10171672,условное осуждение,3.0,0.0,0.0,0.0,True,2.0,0.0,True,0.0,1493.4,2024-03-01,2024-09-04,Рязанский районный суд (Рязанская область),228 ч.2 УК,Вынесен ПРИГОВОР,Рязанская область,муж,False
10009291,условное осуждение,3.0,4.0,0.0,0.0,True,2.0,6.0,True,0.0,271.2,2019-01-22,2019-07-02,Угличский районный суд (Ярославская область),228 ч.2 УК,Вынесен ПРИГОВОР,Ярославская область,муж,False
10064235,условное осуждение,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,2020-06-26,,Дальнеконстантиновский районный суд (Нижегородская область),228 ч.1 УК,Вынесен ПРИГОВОР,Нижегородская область,муж,True
10074851,условное осуждение,0.0,0.0,0.0,400.0,False,0.0,0.0,True,0.0,0.43,2023-05-31,,Ленинский районный суд г. Пензы (Пензенская область),228 ч.1 УК,Вынесен ПРИГОВОР,Пензенская область,муж,False
10046069,условное осуждение,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.4,2020-09-11,,Апанасенковский районный суд (Ставропольский край),228 ч.1 УК,Уголовное дело ПРЕКРАЩЕНОназначена мера уголовно-правового характера - СУДЕБНЫЙ ШТРАФ (ст. 25.1 УПК РФ),Ставропольский край,муж,False
10536693,условное осуждение,3.0,0.0,0.0,0.0,True,1.0,6.0,True,0.0,2.722,2020-07-03,,Кировский районный суд г. Уфы (Республика Башкортостан),228 ч.2 УК,Вынесен ПРИГОВОР,Республика Башкортостан,муж,False
10653877,условное осуждение,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,2024-07-24,,Чамзинский районный суд (Республика Мордовия),228 ч.1 УК,,Республика Мордовия,муж,True
10247455,штраф,0.0,0.0,0.0,0.0,False,0.0,0.0,True,0.0,1.76,2022-04-29,,Миасский городской суд (Челябинская область),228 ч.1 УК,Вынесен ПРИГОВОР,Челябинская область,муж,False
10470526,штраф,0.0,0.0,0.0,0.0,False,0.0,0.0,True,9000.0,21.7,2018-08-31,2018-10-09,Копейский городской суд (Челябинская область),228 ч.1 УК,Вынесен ПРИГОВОР,Челябинская область,жен,False
10121318,условное осуждение,0.0,0.0,0.0,0.0,False,0.0,0.0,True,7000.0,0.918,2022-05-11,,Красноармейский районный суд г. Волгограда (Волгоградская область),228 ч.1 УК,Вынесен ПРИГОВОР,Волгоградская область,муж,False
10210669,условное осуждение,1.0,0.0,0.0,0.0,True,1.0,0.0,True,0.0,0.51,2020-01-31,,Таганрогский городской суд (Ростовская область),228 ч.1 УК,Вынесен ПРИГОВОР,Ростовская область,муж,False
10099784,условное осуждение,4.0,4.0,0.0,0.0,True,4.0,0.0,True,0.0,24.77,2024-03-27,,Первомайский районный суд г. Пензы (Пензенская область),228 ч.1 УК,Вынесен ПРИГОВОР,Пензенская область,муж,False
10172932,штраф,0.0,0.0,60.0,0.0,False,0.0,0.0,True,25000.0,0.84,2022-06-27,,Нальчикский городской суд (Кабардино-Балкарская Республика),228 ч.1 УК,Вынесен ПРИГОВОР,Кабардино-Балкарская Республика,муж,False
10187163,условное осуждение,2.0,0.0,0.0,0.0,True,2.0,0.0,True,0.0,37.73,2023-03-27,,Минераловодский городской суд (Ставропольский край),228 ч.1 УК,Вынесен ПРИГОВОР,Ставропольский край,муж,False
10673098,условное осуждение,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,2024-08-07,,Нефтеюганский районный суд (Ханты-Мансийский автономный округ-Югра),228 ч.2 УК,,Ханты-Мансийский автономный округ-Югра,муж,True
10033637,условное осуждение,0.0,0.0,0.0,0.0,False,0.0,0.0,True,25000.0,0.28,2021-01-29,,Тосненский городской суд (Ленинградская область),228 ч.1 УК,Вынесен ПРИГОВОР,Ленинградская область,муж,False
10131711,условное осуждение,2.0,0.0,0.0,6.0,False,0.0,0.0,True,0.0,0.728,2023-07-27,,Воркутинский городской суд (Республика Коми),228 ч.1 УК,Вынесен ПРИГОВОР,Республика Коми,муж,False
10278838,условное осуждение,4.0,0.0,0.0,0.0,True,4.0,0.0,True,0.0,334.0,2020-05-29,,Центральный районный суд г. Калининграда (Калининградская область),228 ч.2 УК,Вынесен ПРИГОВОР,Калининградская область,муж,False
10220091,штраф,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,2021-11-30,,Икрянинский районный суд (Астраханская область),228 ч.1 УК,Вынесен ПРИГОВОР,Астраханская область,муж,True
10148138,условное осуждение,0.0,0.0,15.0,0.0,False,0.0,0.0,True,0.0,0.27,2024-03-28,,Первоуральский городской суд (Свердловская область),228 ч.1 УК,Вынесен ПРИГОВОР,Свердловская область,муж,False
10160279,условное осуждение,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,2019-12-30,2020-06-02,Бугульминский городской суд (Республика Татарстан ),228 ч.1 УК,Вынесен ПРИГОВОР,Республика Татарстан,муж,True
10082321,условное осуждение,0.0,0.0,0.0,0.0,True,0.0,0.0,True,0.0,,2018-01-31,,Ленинский районный суд г. Тюмени (Тюменская область),228 ч.2 УК,Вынесен ПРИГОВОР,Тюменская область,муж,True
10672974,условное осуждение,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,2024-08-07,,Металлургический районный суд г. Челябинска (Челябинская область),228 ч.2 УК,,Челябинская область,жен,True
10193978,штраф,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,2019-10-01,,Кызылский городской суд (Республика Тыва),228 ч.1 УК,Вынесен ПРИГОВОР,Республика Тыва,неизвестно,True
10160713,условное осуждение,4.0,6.0,0.0,0.0,False,0.0,0.0,True,0.0,0.02,2018-04-25,,Ленинский районный суд г. Ижевска (Удмуртская Республика),228 ч.2 УК,Вынесен ПРИГОВОР,Удмуртская Республика,муж,False
10078245,условное осуждение,2.0,2.0,0.0,0.0,False,0.0,0.0,True,0.0,0.814,2024-04-01,,Соликамский городской суд (Пермский край),228 ч.1 УК,Вынесен ПРИГОВОР,Пермский край,муж,False
10150942,лишение свободы,3.0,3.0,0.0,0.0,False,0.0,0.0,True,0.0,4.89,2021-01-29,,Пролетарский районный суд г. Саранска (Республика Мордовия),228 ч.2 УК,Вынесен ПРИГОВОР,Республика Мордовия,жен,False
10030724,штраф,0.0,2.0,0.0,0.0,False,0.0,0.0,True,10000.0,0.247,2021-10-14,,Облученский районный суд (Еврейская автономная область),228 ч.1 УК,Вынесен ПРИГОВОР,Еврейская автономная область,муж,False
10580020,условное осуждение,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,2024-06-06,,Кызылский районный суд (Республика Тыва),228 ч.2 УК,,Республика Тыва,муж,True
10497904,штраф,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,2022-04-29,,Чкаловский районный суд г. Екатеринбурга (Свердловская область),228 ч.2 УК,Вынесен ПРИГОВОР,Свердловская область,муж,True
10108872,лишение свободы,3.0,6.0,0.0,240.0,False,0.0,0.0,True,0.0,6.23,2021-11-09,,Труновский районный суд (Ставропольский край),228 ч.2 УК,Вынесен ПРИГОВОР,Ставропольский край,муж,False
10079402,условное осуждение,3.0,0.0,0.0,0.0,True,2.0,0.0,True,0.0,0.572,2020-07-07,,Кировский районный суд г. Красноярска (Красноярский край),228 ч.2 УК,Вынесен ПРИГОВОР,Красноярский край,муж,False
10203235,условное осуждение,1.0,0.0,0.0,0.0,True,2.0,0.0,True,0.0,0.65,2022-05-04,,Приволжский районный суд (Астраханская область),228 ч.1 УК,Вынесен ПРИГОВОР,Астраханская область,жен,False
10130421,условное осуждение,0.0,0.0,0.0,280.0,False,0.0,0.0,True,0.0,0.5,2019-12-26,2020-05-02,Тагилстроевский районный суд г. Нижний Тагил (Свердловская область),228 ч.1 УК,Вынесен ПРИГОВОР,Свердловская область,жен,False
10040760,условное осуждение,0.0,0.0,0.0,0.0,False,0.0,0.0,True,0.0,0.06,2019-03-29,,Выборгский городской суд (Ленинградская область),228 ч.2 УК,Вынесен ПРИГОВОР,Ленинградская область,муж,False
10018809,условное осуждение,3.0,4.0,0.0,0.0,False,0.0,0.0,True,0.0,199.44,2023-09-29,,Джидинский районный суд (Республика Бурятия),228 ч.2 УК,Вынесен ПРИГОВОР,Республика Бурятия,муж,False
10340373,штраф,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,2024-04-27,,Шарыповский городской суд (Красноярский край),228 ч.2 УК,Вынесен ПРИГОВОР,Красноярский край,муж,True
10062589,штраф,0.0,0.0,60.0,0.0,False,0.0,0.0,True,20000.0,0.21,2020-02-28,,Кировский районный суд г. Омска (Омская область),228 ч.1 УК,Вынесен ПРИГОВОР,Омская область,муж,False
10619390,условное осуждение,3.0,0.0,0.0,0.0,True,3.0,0.0,True,0.0,,2024-02-06,,Мещанский районный суд (Город Москва) ,228 ч.2 УК,Приговор,Город Москва,муж,True
